player_name,player_id,timeframe,aLevel,Age,TeamName,Date,Team,Opp,BO,Pos,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+
Gavin Turley,702504,last_45,A,22.7,Stockton Ports,Total,STK,- - -,,,29,101,129,27,19,2,0,6,24,21,24,0,36,3,1,0,0,2,0,.267,18.6%,27.9%,.667,.419,.465,.884,.198,,.350,,24.5,4.6,.402,123
Mason White,702517,last_45,A+,22.8,Greenville Drive,Total,GVL,- - -,,,30,107,120,26,16,3,2,5,13,16,11,0,35,1,1,0,1,0,1,.243,9.2%,29.2%,.314,.317,.449,.765,.206,,.309,,16.2,-0.6,.340,96
Jett Williams,702518,last_45,AAA,22.7,Nashville Sounds,Total,NAS,- - -,,,13,48,56,13,10,2,1,0,12,5,8,0,14,0,0,0,0,8,1,.271,14.3%,25.0%,.571,.375,.354,.729,.083,,.382,,7.2,-0.5,.340,94
Justin Thomas Jr.,702520,last_45,A+,22.8,Asheville Tourists,Total,ASH,- - -,,,30,115,139,21,11,6,0,4,27,11,21,0,48,3,0,0,1,8,1,.183,15.1%,34.5%,.438,.324,.339,.663,.157,,.270,,15.9,-4.3,.312,79
Aiden Taurek,702522,last_45,A+,22.8,Everett AquaSox,Total,EVE,- - -,,,33,125,147,37,23,12,0,2,25,22,20,0,32,2,0,0,1,5,1,.296,13.6%,21.8%,.625,.401,.440,.841,.144,,.385,,25.5,3.3,.384,115
Logan Sauve,702524,last_45,A+,23.0,Lansing Lugnuts,Total,LAN,- - -,,,18,58,74,13,7,6,0,0,12,6,13,0,14,2,1,0,2,0,0,.224,17.6%,18.9%,.929,.378,.328,.706,.103,,.289,,10.1,-0.8,.336,93
Eric Snow,702526,last_45,A+,22.4,Vancouver Canadians,Total,VAN,- - -,,,34,133,152,41,31,7,0,3,26,23,17,0,15,0,2,0,5,8,2,.308,11.2%,9.9%,1.133,.382,.429,.810,.120,,.325,,23.1,1.8,.366,108
Mikey Romero,702540,last_45,AAA,22.6,Worcester Red Sox,Total,WOR,- - -,,,24,93,104,18,11,2,0,5,11,16,9,0,18,0,1,1,0,1,0,.194,8.7%,17.3%,.500,.262,.376,.638,.183,,.183,,9.0,-5.1,.287,64
Jacob Reimer,702544,last_45,FCL,22.4,FCL Mets,Total,F-MET,- - -,,,7,22,29,8,3,3,0,2,7,6,5,0,5,2,0,0,0,0,0,.364,17.2%,17.2%,1.000,.517,.773,1.290,.409,,.400,,8.8,4.4,.547,199
Caden Powell,702547,last_45,A+,22.8,Asheville Tourists,Total,ASH,- - -,,,32,113,140,29,18,8,0,3,23,16,24,0,40,1,2,0,5,16,4,.257,17.1%,28.6%,.600,.386,.407,.793,.150,,.361,,21.6,1.3,.363,106
Chandler Pollard,702550,last_45,A+,22.2,Hub City Spartanburgers,Total,HCS,- - -,,,19,68,76,14,10,3,0,1,6,4,5,0,20,3,0,0,0,9,1,.206,6.6%,26.3%,.250,.289,.294,.584,.088,,.277,,6.5,-4.6,.275,59
Cannon Peebles,702555,last_45,A,22.5,Hill City Howlers,Total,HC,- - -,,,26,84,110,16,10,2,2,2,15,9,25,0,29,1,0,0,1,1,1,.190,22.7%,26.4%,.862,.382,.333,.715,.143,,.264,,15.5,-0.0,.343,100
Austin Overn,702556,last_45,FCL,23.1,FCL Rays,Total,F-RAY,- - -,,,23,95,112,28,18,2,1,7,22,18,14,0,32,3,0,0,0,19,1,.295,12.5%,28.6%,.438,.402,.558,.960,.263,,.375,,22.5,6.6,.425,142
Mason Neville,702563,last_45,ACL,22.4,ACL Reds,Total,A-RED,- - -,,,28,85,106,19,6,4,0,9,19,19,18,0,38,0,2,1,1,2,0,.224,17.0%,35.8%,.474,.352,.588,.941,.365,,.250,,20.1,4.5,.404,129
David Mershon,702574,last_45,A+,23.2,Tri-City Dust Devils,Total,TRI,- - -,,,24,85,105,24,19,3,1,1,16,11,12,0,24,2,1,5,0,11,0,.282,11.4%,22.9%,.500,.380,.376,.756,.094,,.377,,14.6,-0.1,.349,99
