player_name,player_id,timeframe,aLevel,Age,TeamName,Date,Team,Opp,GS,W,L,ERA,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP
Oscar Vasquez,828012,last_7,DSL,21.5,DSL NYY Bombers,Total,D-NYB,- - -,0,0,0,.00,0,0,0,2.1,12,2,0,0,0,3,0,0,0,0,1,3.86,11.57,.33,.00,8.3%,25.0%,-16.7%,.222,2.14,,,7.70
Hunter Alberini,828043,last_7,A,24.5,Columbia Fireflies,Total,COL,- - -,0,1,0,.00,0,0,0,3.1,11,1,0,0,0,0,0,0,0,0,3,8.10,.00,,.00,27.3%,0.0%,27.3%,.091,.30,,,1.23
Luke Roupe,828069,last_7,ACL,19.8,ACL Brewers,Total,A-BRW,- - -,1,0,0,16.20,0,0,0,1.2,9,5,3,3,2,0,0,0,0,0,1,5.40,.00,,1.80,11.1%,0.0%,11.1%,.556,3.00,,,19.45
Yohn Melendez,828110,last_7,DSL,20.5,DSL Padres Brown,Total,D-PAB,- - -,0,0,0,2.45,0,0,0,3.2,17,3,1,1,0,3,0,1,0,1,2,4.91,7.36,.67,.00,11.8%,17.6%,-5.9%,.231,1.64,,,6.89
Miguel Sime Jr.,828137,last_7,A+,19.1,Wilmington Blue Rocks,Total,WIL,- - -,1,0,0,4.91,0,0,0,3.2,19,5,3,2,0,2,0,0,3,0,3,7.36,4.91,1.50,.00,15.8%,10.5%,5.3%,.294,1.91,,,3.23
Mikey Cascino,828145,last_7,ACL,19.4,ACL Angels,Total,A-ANG,- - -,0,0,0,47.25,0,0,0,1.1,14,6,7,7,0,3,0,1,0,0,2,13.50,2.25,.67,.00,14.3%,21.4%,-7.1%,.600,6.75,,,11.05
Chase Bentley,828230,last_7,ACL,19.1,ACL Brewers,Total,A-BRW,- - -,0,1,0,.00,0,0,0,3.1,10,0,0,0,0,0,0,0,0,0,4,1.80,.00,,.00,40.0%,0.0%,40.0%,.000,.00,,,2.65
Kruz Schoolcraft,828244,last_7,A,19.1,Lake Elsinore Storm,Total,LE,- - -,1,1,0,1.80,0,0,0,5.0,18,4,1,1,0,0,0,0,0,0,3,5.40,.00,,.00,16.7%,0.0%,16.7%,.222,.80,,,2.82
Rafael Arias,828266,last_7,FCL,22.6,FCL Yankees,Total,F-YAN,- - -,0,0,0,27.00,0,0,0,1.0,8,1,3,3,0,4,0,0,2,1,2,18.00,36.00,.50,.00,25.0%,50.0%,-25.0%,.250,5.00,,,11.93
Ruben Saldana,828297,last_7,DSL,20.3,DSL Brewers Blue,Total,D-BWB,- - -,0,0,0,6.75,0,0,1,4.0,20,9,5,3,0,0,0,0,0,0,4,9.00,.00,,.00,20.0%,0.0%,20.0%,.450,2.25,,,2.70
Kyle Roche,828314,last_7,A+,24.7,Tri-City Dust Devils,Total,TRI,- - -,0,0,0,19.29,0,0,0,2.1,16,7,6,5,0,2,0,0,0,0,4,15.43,7.71,2.00,.00,25.0%,12.5%,12.5%,.500,3.86,,,2.72
Holden Wilkerson,828334,last_7,A+,23.0,Vancouver Canadians,Total,VAN,- - -,1,0,1,1.80,0,0,0,5.0,24,9,6,6,1,2,0,0,1,0,4,7.20,3.60,2.00,1.80,16.7%,8.3%,8.3%,.409,2.20,,,5.78
Dean Livingston,828344,last_7,A,19.7,Visalia Rawhide,Total,VIS,- - -,1,0,1,16.20,0,0,0,3.1,19,6,6,6,1,1,0,1,1,1,2,5.40,2.70,2.00,2.70,10.5%,5.3%,5.3%,.353,2.10,,,8.52
Victor Rodriguez,828349,last_7,FCL,19.6,FCL Marlins,Total,F-MRL,- - -,1,0,0,3.00,0,0,0,3.0,14,2,1,1,0,2,0,1,0,1,1,3.00,6.00,.50,.00,7.1%,14.3%,-7.1%,.182,1.33,,,6.27
Nate Garkow,828353,last_7,AAA,28.8,Buffalo Bisons,Total,BUF,- - -,0,0,0,9.00,0,0,0,1.0,6,0,1,1,0,2,0,1,0,0,1,9.00,18.00,.50,.00,16.7%,33.3%,-16.7%,.000,2.00,,,1.31
Jake Jekielek,828364,last_7,A,23.7,Hickory Crawdads,Total,HIC,- - -,0,0,0,.00,0,0,0,1.0,3,0,0,0,0,0,0,0,0,0,0,.00,.00,,.00,0.0%,0.0%,0.0%,.000,.00,,,3.03
Jose Lopez,828372,last_7,FCL,22.0,FCL Mets,Total,F-MET,- - -,1,0,1,12.00,0,0,0,3.0,14,3,4,4,3,3,0,0,0,0,2,6.00,9.00,.67,9.00,14.3%,21.4%,-7.1%,.273,2.00,,,18.60
Michael Ross,828374,last_7,A+,23.9,Cedar Rapids Kernels,Total,CR,- - -,1,0,1,13.50,0,0,0,4.0,18,4,6,6,1,4,0,0,0,0,2,4.50,9.00,.50,2.25,11.1%,22.2%,-11.1%,.286,2.00,,,9.25
Victor Zarraga,828393,last_7,A,22.4,Myrtle Beach Pelicans,Total,MB,- - -,0,0,0,13.50,0,0,0,3.1,24,5,6,5,0,8,0,1,1,0,5,13.50,21.60,.62,.00,20.8%,33.3%,-12.5%,.333,3.90,,,8.13
Zachary Redner,828412,last_7,A+,21.5,Tri-City Dust Devils,Total,TRI,- - -,0,0,0,6.75,0,0,0,5.1,21,5,4,4,1,2,0,0,0,0,2,3.38,3.38,1.00,1.69,9.5%,9.5%,0.0%,.263,1.31,,,6.39
Samuel Gonzalez,828416,last_7,A,21.4,Visalia Rawhide,Total,VIS,- - -,0,0,0,17.36,0,0,0,4.2,27,9,9,9,3,3,0,1,0,1,2,3.86,5.79,.67,5.79,7.4%,11.1%,-3.7%,.391,2.57,,,14.09
Adam Bogosian,828418,last_7,FCL,23.8,FCL Nationals,Total,F-NAT,- - -,0,0,0,.00,0,0,0,3.1,14,3,0,0,0,1,0,0,1,0,2,5.40,2.70,2.00,.00,14.3%,7.1%,7.1%,.231,1.20,,,3.63
Ethan Dorchies,828475,last_7,A+,19.6,Wisconsin Timber Rattlers,Total,WIS,- - -,1,0,0,.00,0,0,0,5.1,23,4,1,0,0,3,0,0,1,1,5,8.44,5.06,1.67,.00,21.7%,13.0%,8.7%,.200,1.31,,,3.81
Xavier Kolhosser,828492,last_7,A+,22.9,Cedar Rapids Kernels,Total,CR,- - -,0,1,1,7.20,0,0,0,5.0,22,5,4,4,1,3,0,0,0,0,9,16.20,5.40,3.00,1.80,40.9%,13.6%,27.3%,.263,1.60,,,4.80
Cohen Achen,828494,last_7,AA,24.8,Chesapeake Baysox,Total,CHE,- - -,0,0,0,9.00,0,0,0,1.0,4,1,1,1,1,1,0,0,0,0,1,9.00,9.00,1.00,9.00,25.0%,25.0%,0.0%,.333,2.00,,,17.88
Mason Davenport,828495,last_7,FCL,21.9,FCL Blue Jays,Total,F-BLU,- - -,0,0,1,5.40,0,0,0,1.2,8,1,1,1,1,3,0,0,1,0,1,5.40,16.20,.33,5.40,12.5%,37.5%,-25.0%,.200,2.40,,,15.93
Jonathan Todd,828496,last_7,A+,24.8,Vancouver Canadians,Total,VAN,- - -,0,0,0,1.80,0,0,0,5.0,20,3,2,1,1,1,0,0,0,0,6,1.80,1.80,6.00,1.80,30.0%,5.0%,25.0%,.158,.80,,,4.38
