player_name,player_id,timeframe,aLevel,Age,TeamName,error
Cesar De Jesus,sa3017767,last_30,CPX,21.0,TBR (CPX),Total row not found (advanced) | Total row not found (standard)
Aaron Haase,sa3017849,last_60,CPX,25.0,DET (CPX),Total row not found (advanced) | Total row not found (standard)
Aaron Haase,sa3017849,last_30,CPX,25.0,DET (CPX),Total row not found (advanced) | Total row not found (standard)
Aaron Haase,sa3017849,last_45,CPX,25.0,DET (CPX),Total row not found (advanced) | Total row not found (standard)
Aaron Haase,sa3017849,last_15,CPX,25.0,DET (CPX),Total row not found (advanced) | Total row not found (standard)
Mat Olsen,sa3017882,last_15,A,24.0,SFG (A),Total row not found (advanced) | Total row not found (standard)
Landon Marceaux,sa3017913,last_45,CPX,25.0,KCR (CPX),Total row not found (advanced) | Total row not found (standard)
Landon Marceaux,sa3017913,last_30,CPX,25.0,KCR (CPX),Total row not found (advanced) | Total row not found (standard)
Landon Marceaux,sa3017913,last_60,CPX,25.0,KCR (CPX),Total row not found (advanced) | Total row not found (standard)
Landon Marceaux,sa3017913,last_15,CPX,25.0,KCR (CPX),Total row not found (advanced) | Total row not found (standard)
Drew Gray,sa3017964,last_45,A+,22.0,CHC (A+),Total row not found (advanced) | Total row not found (standard)
Drew Gray,sa3017964,last_15,A+,22.0,CHC (A+),Total row not found (advanced) | Total row not found (standard)
Drew Gray,sa3017964,last_30,A+,22.0,CHC (A+),Total row not found (advanced) | Total row not found (standard)
Jose T. Perez,sa3017966,last_30,CPX,21.0,SFG (CPX),Total row not found (advanced) | Total row not found (standard)
Vince Vannelle,sa3018094,last_15,A+,27.0,CHW (A+),Total row not found (advanced) | Total row not found (standard)
Jose T. Perez,sa3017966,last_15,CPX,21.0,SFG (CPX),Total row not found (advanced) | Total row not found (standard)
Hayden Seig,sa3018115,last_45,CPX,26.0,LAA (CPX),Total row not found (advanced) | Total row not found (standard)
Hayden Seig,sa3018115,last_60,CPX,26.0,LAA (CPX),Total row not found (advanced) | Total row not found (standard)
Hayden Seig,sa3018115,last_30,CPX,26.0,LAA (CPX),Total row not found (advanced) | Total row not found (standard)
Hayden Seig,sa3018115,last_15,CPX,26.0,LAA (CPX),Total row not found (advanced) | Total row not found (standard)
Vince Vannelle,sa3018094,last_30,A+,27.0,CHW (A+),Total row not found (advanced) | Total row not found (standard)
Wuillians Herrera,sa3018302,last_30,CPX,21.0,LAD (CPX),Total row not found (advanced) | Total row not found (standard)
Wuillians Herrera,sa3018302,last_15,CPX,21.0,LAD (CPX),Total row not found (advanced) | Total row not found (standard)
Candido Cuevas,sa3018305,last_45,CPX,21.0,NYM (CPX),Total row not found (advanced) | Total row not found (standard)
Candido Cuevas,sa3018305,last_30,CPX,21.0,NYM (CPX),Total row not found (advanced) | Total row not found (standard)
Candido Cuevas,sa3018305,last_15,CPX,21.0,NYM (CPX),Total row not found (advanced) | Total row not found (standard)
Luis Torres,sa3018320,last_45,CPX,20.0,TOR (CPX),Total row not found (advanced) | Total row not found (standard)
José Fernández,sa3018346,last_30,A,21.0,MIA (A),Total row not found (advanced) | Total row not found (standard)
Luis Torres,sa3018320,last_60,CPX,20.0,TOR (CPX),Total row not found (advanced) | Total row not found (standard)
Luis Torres,sa3018320,last_30,CPX,20.0,TOR (CPX),Total row not found (advanced) | Total row not found (standard)
Luis Torres,sa3018320,last_15,CPX,20.0,TOR (CPX),Total row not found (advanced) | Total row not found (standard)
José Fernández,sa3018346,last_15,A,21.0,MIA (A),Total row not found (advanced) | Total row not found (standard)
Daurys Mora,sa3018336,last_30,CPX,21.0,MIL (CPX),Total row not found (advanced) | Total row not found (standard)
Daurys Mora,sa3018336,last_45,CPX,21.0,MIL (CPX),Total row not found (advanced) | Total row not found (standard)
Daurys Mora,sa3018336,last_15,CPX,21.0,MIL (CPX),Total row not found (advanced) | Total row not found (standard)
Luifer Romero,sa3018349,last_30,CPX,20.0,MIA (CPX),Total row not found (advanced) | Total row not found (standard)
Luifer Romero,sa3018349,last_15,CPX,20.0,MIA (CPX),Total row not found (advanced) | Total row not found (standard)
Josue Arias,sa3018350,last_15,CPX,20.0,MIA (CPX),Total row not found (advanced) | Total row not found (standard)
Kendeglys Virguez,sa3018351,last_30,CPX,21.0,CLE (CPX),Total row not found (advanced) | Total row not found (standard)
Luis Ramirez,sa3018353,last_15,A,23.0,MIA (A),Total row not found (advanced) | Total row not found (standard)
Kendeglys Virguez,sa3018351,last_15,CPX,21.0,CLE (CPX),Total row not found (advanced) | Total row not found (standard)
Josue Arias,sa3018350,last_30,CPX,20.0,MIA (CPX),Total row not found (advanced) | Total row not found (standard)
Diovel Mariano,sa3018363,last_30,CPX,21.0,CLE (CPX),Total row not found (advanced) | Total row not found (standard)
Diovel Mariano,sa3018363,last_15,CPX,21.0,CLE (CPX),Total row not found (advanced) | Total row not found (standard)
Luis Cesar,sa3018368,last_30,CPX,21.0,MIA (CPX),Total row not found (advanced) | Total row not found (standard)
Ricardo Montero,sa3018370,last_15,CPX,21.0,LAD (CPX),Total row not found (advanced) | Total row not found (standard)
Ricardo Montero,sa3018370,last_30,CPX,21.0,LAD (CPX),Total row not found (advanced) | Total row not found (standard)
Luis Cesar,sa3018368,last_15,CPX,21.0,MIA (CPX),Total row not found (advanced) | Total row not found (standard)
Franyer Noria,sa3018528,last_60,CPX,20.0,BOS (CPX),Total row not found (advanced) | Total row not found (standard)
Santiago Gomez,sa3018616,last_15,CPX,21.0,NYY (CPX),Total row not found (advanced) | Total row not found (standard)
Franyer Noria,sa3018528,last_15,CPX,20.0,BOS (CPX),Total row not found (advanced) | Total row not found (standard)
Franyer Noria,sa3018528,last_30,CPX,20.0,BOS (CPX),Total row not found (advanced) | Total row not found (standard)
Franyer Noria,sa3018528,last_45,CPX,20.0,BOS (CPX),Total row not found (advanced) | Total row not found (standard)
Santiago Gomez,sa3018616,last_30,CPX,21.0,NYY (CPX),Total row not found (advanced) | Total row not found (standard)
Jaiker Garcia,sa3018626,last_30,CPX,20.0,TEX (CPX),Total row not found (advanced) | Total row not found (standard)
Jaiker Garcia,sa3018626,last_15,CPX,20.0,TEX (CPX),Total row not found (advanced) | Total row not found (standard)
Accimias Morales,sa3018809,last_30,CPX,20.0,LAD (CPX),Total row not found (advanced) | Total row not found (standard)
David Rodriguez,sa3018810,last_15,CPX,21.0,KCR (CPX),Total row not found (advanced) | Total row not found (standard)
